jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
57576.462434	-0.32937	0.00052	7.03206	53.394	-0.02733	0.00039	0.149147	0.000537	-5.0787	0.0037	46.70	82.00	194.90	196.10
57576.466334	-0.32991	0.00054	7.03373	53.388	-0.02637	0.00041	0.149401	0.000578	-5.0769	0.0040	44.20	78.20	185.30	185.70
57576.470165	-0.33032	0.00058	7.03540	53.397	-0.02536	0.00046	0.149872	0.000687	-5.0737	0.0047	38.80	69.40	165.40	166.80
57578.389379	-0.32685	0.00058	7.03282	53.407	-0.02759	0.00046	0.147363	0.000683	-5.0913	0.0049	38.70	71.50	157.50	148.20
57578.393187	-0.32833	0.00056	7.03272	53.396	-0.02877	0.00043	0.148476	0.000627	-5.0834	0.0044	41.40	76.50	166.30	154.90
57578.396763	-0.32789	0.00061	7.03063	53.411	-0.02784	0.00050	0.148890	0.000768	-5.0805	0.0054	35.70	66.20	147.00	139.50
57578.454155	-0.32909	0.00085	7.03400	53.464	-0.02763	0.00078	0.149630	0.001532	-5.0753	0.0106	21.80	41.20	99.00	100.50
57578.458148	-0.33048	0.00096	7.03226	53.460	-0.02642	0.00089	0.145969	0.001886	-5.1014	0.0138	18.70	35.80	87.20	89.40
57578.461909	-0.32823	0.00080	7.03033	53.438	-0.02905	0.00072	0.147768	0.001329	-5.0884	0.0095	24.10	44.60	106.20	108.30
57579.386831	-0.33044	0.00096	7.03661	53.447	-0.02482	0.00090	0.146569	0.001889	-5.0970	0.0137	18.70	35.90	86.70	88.00
57579.390639	-0.32947	0.00090	7.02862	53.465	-0.02807	0.00083	0.149439	0.001666	-5.0766	0.0115	20.60	38.90	93.40	94.40
57579.394354	-0.32997	0.00091	7.03282	53.461	-0.02598	0.00084	0.147216	0.001713	-5.0923	0.0123	20.10	38.30	92.00	92.80
57579.438205	-0.32783	0.00069	7.03030	53.429	-0.02634	0.00060	0.149292	0.001021	-5.0777	0.0071	29.10	53.40	126.20	126.80
57579.442048	-0.32825	0.00058	7.03251	53.404	-0.02913	0.00046	0.149498	0.000674	-5.0762	0.0047	39.30	70.30	164.20	163.80
